/root/workspace/UIE/datasets/UIEB_Dataset/574_img_.png,OURS,0.3299,0.9865,7.0027
/root/workspace/UIE/datasets/UIEB_Dataset/3_img_.png,OURS,0.4209,1.4121,7.5137
/root/workspace/UIE/datasets/UIEB_Dataset/420_img_.png,OURS,0.3968,1.1634,7.4257
/root/workspace/UIE/datasets/UIEB_Dataset/803_img_.png,OURS,0.4253,1.7016,7.6637
/root/workspace/UIE/datasets/UIEB_Dataset/716_img_.png,OURS,0.4333,1.0837,7.4025
/root/workspace/UIE/datasets/UIEB_Dataset/487_img_.png,OURS,0.4114,0.9332,7.0487
/root/workspace/UIE/datasets/UIEB_Dataset/467_img_.png,OURS,0.4079,1.2456,7.5783
/root/workspace/UIE/datasets/UIEB_Dataset/141_img_.png,OURS,0.4396,1.144,7.7571
/root/workspace/UIE/datasets/UIEB_Dataset/631_img_.png,OURS,0.4257,1.4192,7.7822
/root/workspace/UIE/datasets/UIEB_Dataset/125_img_.png,OURS,0.4338,1.7162,7.7908
/root/workspace/UIE/datasets/UIEB_Dataset/625_img_.png,OURS,0.4451,0.7587,7.6098
/root/workspace/UIE/datasets/UIEB_Dataset/538_img_.png,OURS,0.4051,1.4367,7.7042
/root/workspace/UIE/datasets/UIEB_Dataset/203_img_.png,OURS,0.3958,1.0956,7.2208
/root/workspace/UIE/datasets/UIEB_Dataset/402_img_.png,OURS,0.4144,1.0321,7.6148
/root/workspace/UIE/datasets/UIEB_Dataset/9567.png,OURS,0.3758,0.9363,7.2808
/root/workspace/UIE/datasets/UIEB_Dataset/733_img_.png,OURS,0.383,1.4453,6.3062
/root/workspace/UIE/datasets/UIEB_Dataset/348_img_.png,OURS,0.4022,1.1733,7.489
/root/workspace/UIE/datasets/UIEB_Dataset/362_img_.png,OURS,0.4312,1.1126,7.4798
/root/workspace/UIE/datasets/UIEB_Dataset/27_img_.png,OURS,0.4255,1.1224,7.7001
/root/workspace/UIE/datasets/UIEB_Dataset/8010.png,OURS,0.3821,1.2712,7.3551
/root/workspace/UIE/datasets/UIEB_Dataset/563.png,OURS,0.43,0.8498,7.5288
/root/workspace/UIE/datasets/UIEB_Dataset/240_img_.png,OURS,0.4058,0.8201,7.4153
/root/workspace/UIE/datasets/UIEB_Dataset/675_img_.png,OURS,0.3885,1.2503,7.3774
/root/workspace/UIE/datasets/UIEB_Dataset/451_img_.png,OURS,0.4449,1.1371,7.8377
/root/workspace/UIE/datasets/UIEB_Dataset/145_img_.png,OURS,0.4212,1.3605,7.7301
/root/workspace/UIE/datasets/UIEB_Dataset/272_img_.png,OURS,0.4197,1.2661,7.7103
/root/workspace/UIE/datasets/UIEB_Dataset/465_img_.png,OURS,0.3948,1.3853,6.9963
/root/workspace/UIE/datasets/UIEB_Dataset/486_img_.png,OURS,0.4964,0.9442,7.6147
/root/workspace/UIE/datasets/UIEB_Dataset/812_img_.png,OURS,0.4223,1.6726,7.6938
